primary,descriptor2,descriptor3,노트,색상/이미지,계절,온도/습도,날씨,시간대,장소/상황,감정/분위기,normalized_tags,계열,예시_향수,hex_palette_from_colors
Spicy,Ginger,Citrus,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, ginger, citrus",,,
Spicy,Ginger,Citrus,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, ginger, citrus",,,
Spicy,Ginger,Citrus,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, ginger, citrus",,,
Spicy,Ginger,Citrus,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, ginger, citrus",,,
Spicy,Ginger,Citrus,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, ginger, citrus",,,
Herbal,Fresh,Green,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, fresh, green",Green/Herbal,,
Herbal,Fresh,Green,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, fresh, green",Green/Herbal,,
Spicy,Nutmeg,Woody,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, nutmeg, woody",,,
Spicy,Nutmeg,Woody,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, nutmeg, woody",,,
Spicy,Nutmeg,Woody,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, nutmeg, woody",,,
Smoky,Phenolic,Leathery,Smoky,차콜,가을/겨울,따뜻한/건조,모닥불/안개,밤,캠프/바,무드/시크,"smoky, phenolic, leathery",,,
Smoky,Phenolic,Leathery,Smoky,차콜,가을/겨울,따뜻한/건조,모닥불/안개,밤,캠프/바,무드/시크,"smoky, phenolic, leathery",,,
Smoky,Phenolic,Leathery,Smoky,차콜,가을/겨울,따뜻한/건조,모닥불/안개,밤,캠프/바,무드/시크,"smoky, phenolic, leathery",,,
Woody,Earthy,Patchouli,Woody,브라운 (+다크그린/브라운),가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, earthy, patchouli",,,
Woody,Earthy,Patchouli,Woody,브라운 (+다크그린/브라운),가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, earthy, patchouli",,,
Woody,Earthy,Patchouli,Woody,브라운 (+다크그린/브라운),가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, earthy, patchouli",,,
Woody,Earthy,Patchouli,Woody,브라운 (+다크그린/브라운),가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, earthy, patchouli",,,
Woody,Earthy,Patchouli,Woody,브라운 (+다크그린/브라운),가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, earthy, patchouli",,,
Woody,Earthy,Patchouli,Woody,브라운 (+다크그린/브라운),가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, earthy, patchouli",,,
Woody,Earthy,Patchouli,Woody,브라운 (+다크그린/브라운),가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, earthy, patchouli",,,
Woody,Earthy,Patchouli,Woody,브라운 (+다크그린/브라운),가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, earthy, patchouli",,,
Woody,Earthy,Patchouli,Woody,브라운 (+다크그린/브라운),가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, earthy, patchouli",,,
Fruity,Sweet,Herbal,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, sweet, herbal",,,
Balsamic,Amber,Floral,Balsamic,"호박색, 갈색, 황갈색, 앰버 (+앰버골드)","가을, 겨울, 가을/겨울",따뜻한/수지향,수지/따뜻,"저녁, 밤, 저녁/밤","벽난로 옆, 도서관, 라운지, 사원/숲","안정감, sophisticated, 따뜻함, 깊이/안온","balsamic, amber, floral",Woody,"Diptyque Tam Dao, Hermès Terre d’Hermès, Le Labo Santal 33","#FFC107, #795548, #D2B48C"
Balsamic,Amber,Floral,Balsamic,"호박색, 갈색, 황갈색, 앰버 (+앰버골드)","가을, 겨울, 가을/겨울",따뜻한/수지향,수지/따뜻,"저녁, 밤, 저녁/밤","벽난로 옆, 도서관, 라운지, 사원/숲","안정감, sophisticated, 따뜻함, 깊이/안온","balsamic, amber, floral",Woody,"Diptyque Tam Dao, Hermès Terre d’Hermès, Le Labo Santal 33","#FFC107, #795548, #D2B48C"
Balsamic,Amber,Floral,Balsamic,"호박색, 갈색, 황갈색, 앰버 (+앰버골드)","가을, 겨울, 가을/겨울",따뜻한/수지향,수지/따뜻,"저녁, 밤, 저녁/밤","벽난로 옆, 도서관, 라운지, 사원/숲","안정감, sophisticated, 따뜻함, 깊이/안온","balsamic, amber, floral",Woody,"Diptyque Tam Dao, Hermès Terre d’Hermès, Le Labo Santal 33","#FFC107, #795548, #D2B48C"
Balsamic,Amber,Floral,Balsamic,"호박색, 갈색, 황갈색, 앰버 (+앰버골드)","가을, 겨울, 가을/겨울",따뜻한/수지향,수지/따뜻,"저녁, 밤, 저녁/밤","벽난로 옆, 도서관, 라운지, 사원/숲","안정감, sophisticated, 따뜻함, 깊이/안온","balsamic, amber, floral",Woody,"Diptyque Tam Dao, Hermès Terre d’Hermès, Le Labo Santal 33","#FFC107, #795548, #D2B48C"
Balsamic,Amber,Floral,Balsamic,"호박색, 갈색, 황갈색, 앰버 (+앰버골드)","가을, 겨울, 가을/겨울",따뜻한/수지향,수지/따뜻,"저녁, 밤, 저녁/밤","벽난로 옆, 도서관, 라운지, 사원/숲","안정감, sophisticated, 따뜻함, 깊이/안온","balsamic, amber, floral",Woody,"Diptyque Tam Dao, Hermès Terre d’Hermès, Le Labo Santal 33","#FFC107, #795548, #D2B48C"
Balsamic,Amber,Floral,Balsamic,"호박색, 갈색, 황갈색, 앰버 (+앰버골드)","가을, 겨울, 가을/겨울",따뜻한/수지향,수지/따뜻,"저녁, 밤, 저녁/밤","벽난로 옆, 도서관, 라운지, 사원/숲","안정감, sophisticated, 따뜻함, 깊이/안온","balsamic, amber, floral",Woody,"Diptyque Tam Dao, Hermès Terre d’Hermès, Le Labo Santal 33","#FFC107, #795548, #D2B48C"
Balsamic,Vanilla,Warm,Balsamic,"호박색, 갈색, 황갈색, 앰버 (+크림아이보리)","가을, 겨울, 가을/겨울",따뜻한/수지향,수지/따뜻,"저녁, 밤, 저녁/밤","벽난로 옆, 도서관, 라운지, 사원/숲","안정감, sophisticated, 따뜻함, 깊이/안온","balsamic, vanilla, warm",Woody,"Diptyque Tam Dao, Hermès Terre d’Hermès, Le Labo Santal 33","#FFC107, #795548, #D2B48C"
Balsamic,Vanilla,Warm,Balsamic,"호박색, 갈색, 황갈색, 앰버 (+크림아이보리)","가을, 겨울, 가을/겨울",따뜻한/수지향,수지/따뜻,"저녁, 밤, 저녁/밤","벽난로 옆, 도서관, 라운지, 사원/숲","안정감, sophisticated, 따뜻함, 깊이/안온","balsamic, vanilla, warm",Woody,"Diptyque Tam Dao, Hermès Terre d’Hermès, Le Labo Santal 33","#FFC107, #795548, #D2B48C"
Balsamic,Vanilla,Warm,Balsamic,"호박색, 갈색, 황갈색, 앰버 (+크림아이보리)","가을, 겨울, 가을/겨울",따뜻한/수지향,수지/따뜻,"저녁, 밤, 저녁/밤","벽난로 옆, 도서관, 라운지, 사원/숲","안정감, sophisticated, 따뜻함, 깊이/안온","balsamic, vanilla, warm",Woody,"Diptyque Tam Dao, Hermès Terre d’Hermès, Le Labo Santal 33","#FFC107, #795548, #D2B48C"
Powdery,Hay,Sweet,Powdery,파스텔,사계절/가을,포근/부드러움,잔잔/실내,종일/저녁,오피스/홈,부드러움/안정,"powdery, hay, sweet",,,
Powdery,Hay,Sweet,Powdery,파스텔,사계절/가을,포근/부드러움,잔잔/실내,종일/저녁,오피스/홈,부드러움/안정,"powdery, hay, sweet",,,
Powdery,Hay,Sweet,Powdery,파스텔,사계절/가을,포근/부드러움,잔잔/실내,종일/저녁,오피스/홈,부드러움/안정,"powdery, hay, sweet",,,
Powdery,Hay,Sweet,Powdery,파스텔,사계절/가을,포근/부드러움,잔잔/실내,종일/저녁,오피스/홈,부드러움/안정,"powdery, hay, sweet",,,
Floral,Sweet,Warm,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, sweet, warm",,,
Floral,Sweet,Warm,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, sweet, warm",,,
Floral,Fruity,Sweet,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, fruity, sweet",,,
Floral,Fruity,Sweet,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, fruity, sweet",,,
Amber,Creamy,Vanilla,Amber,"따뜻함 호박색, 앰버/골드 (+크림아이보리)","가을, 여름, 겨울, 가을/겨울",따뜻한/포근,포근/실내,"저녁, 밤, 저녁/밤","콘서트, 로맨틱함 저녁 식사, 라운지/바","고급스러움, 관능적임, 따뜻함, 포근/관능","amber, creamy, vanilla",Woody/Amber,"Dior Sauvage, Molecule 02, Prada L'Homme Intense",
Amber,Creamy,Vanilla,Amber,"따뜻함 호박색, 앰버/골드 (+크림아이보리)","가을, 여름, 겨울, 가을/겨울",따뜻한/포근,포근/실내,"저녁, 밤, 저녁/밤","콘서트, 로맨틱함 저녁 식사, 라운지/바","고급스러움, 관능적임, 따뜻함, 포근/관능","amber, creamy, vanilla",Woody/Amber,"Dior Sauvage, Molecule 02, Prada L'Homme Intense",
Amber,Creamy,Vanilla,Amber,"따뜻함 호박색, 앰버/골드 (+크림아이보리)","가을, 여름, 겨울, 가을/겨울",따뜻한/포근,포근/실내,"저녁, 밤, 저녁/밤","콘서트, 로맨틱함 저녁 식사, 라운지/바","고급스러움, 관능적임, 따뜻함, 포근/관능","amber, creamy, vanilla",Woody/Amber,"Dior Sauvage, Molecule 02, Prada L'Homme Intense",
Amber,Creamy,Vanilla,Amber,"따뜻함 호박색, 앰버/골드 (+크림아이보리)","가을, 여름, 겨울, 가을/겨울",따뜻한/포근,포근/실내,"저녁, 밤, 저녁/밤","콘서트, 로맨틱함 저녁 식사, 라운지/바","고급스러움, 관능적임, 따뜻함, 포근/관능","amber, creamy, vanilla",Woody/Amber,"Dior Sauvage, Molecule 02, Prada L'Homme Intense",
Green,Oily,Leafy,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, oily, leafy",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Green,Oily,Leafy,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, oily, leafy",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Floral,Powdery,Green,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, powdery, green",,,
Floral,Powdery,Green,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, powdery, green",,,
Green,Sulfurous,Onion,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, sulfurous, onion",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Balsamic,Sweet,Vanilla,Balsamic,"호박색, 갈색, 황갈색, 앰버 (+크림아이보리)","가을, 겨울, 가을/겨울",따뜻한/수지향,수지/따뜻,"저녁, 밤, 저녁/밤","벽난로 옆, 도서관, 라운지, 사원/숲","안정감, sophisticated, 따뜻함, 깊이/안온","balsamic, sweet, vanilla",Woody,"Diptyque Tam Dao, Hermès Terre d’Hermès, Le Labo Santal 33","#FFC107, #795548, #D2B48C"
Balsamic,Sweet,Vanilla,Balsamic,"호박색, 갈색, 황갈색, 앰버 (+크림아이보리)","가을, 겨울, 가을/겨울",따뜻한/수지향,수지/따뜻,"저녁, 밤, 저녁/밤","벽난로 옆, 도서관, 라운지, 사원/숲","안정감, sophisticated, 따뜻함, 깊이/안온","balsamic, sweet, vanilla",Woody,"Diptyque Tam Dao, Hermès Terre d’Hermès, Le Labo Santal 33","#FFC107, #795548, #D2B48C"
Balsamic,Sweet,Vanilla,Balsamic,"호박색, 갈색, 황갈색, 앰버 (+크림아이보리)","가을, 겨울, 가을/겨울",따뜻한/수지향,수지/따뜻,"저녁, 밤, 저녁/밤","벽난로 옆, 도서관, 라운지, 사원/숲","안정감, sophisticated, 따뜻함, 깊이/안온","balsamic, sweet, vanilla",Woody,"Diptyque Tam Dao, Hermès Terre d’Hermès, Le Labo Santal 33","#FFC107, #795548, #D2B48C"
Balsamic,Sweet,Vanilla,Balsamic,"호박색, 갈색, 황갈색, 앰버 (+크림아이보리)","가을, 겨울, 가을/겨울",따뜻한/수지향,수지/따뜻,"저녁, 밤, 저녁/밤","벽난로 옆, 도서관, 라운지, 사원/숲","안정감, sophisticated, 따뜻함, 깊이/안온","balsamic, sweet, vanilla",Woody,"Diptyque Tam Dao, Hermès Terre d’Hermès, Le Labo Santal 33","#FFC107, #795548, #D2B48C"
Floral,Rose,Oily,Floral,핑크/화이트 (+로즈핑크),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, rose, oily",,,
Woody,Fruity,Floral,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, fruity, floral",,,
Woody,Dry,Floral,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, dry, floral",,,
Floral,Rose,Oily,Floral,핑크/화이트 (+로즈핑크),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, rose, oily",,,
Floral,Grape,Green,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, grape, green",,,
Floral,Hyacinth,Green,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, hyacinth, green",,,
Gourmand,Caramel,Licorice,Gourmand,베이지/크림 (+카라멜브라운),가을/겨울,따뜻한/달달,카페/실내,오후/밤,카페/디저트,편안/달달,"gourmand, caramel, licorice",,,
Gourmand,Nutty,Cocoa,Gourmand,베이지/크림,가을/겨울,따뜻한/달달,카페/실내,오후/밤,카페/디저트,편안/달달,"gourmand, nutty, cocoa",,,
Gourmand,Nutty,Roasted,Gourmand,베이지/크림,가을/겨울,따뜻한/달달,카페/실내,오후/밤,카페/디저트,편안/달달,"gourmand, nutty, roasted",,,
Woody,Amber,Earthy,Woody,브라운 (+앰버골드),가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, amber, earthy",,,
Herbal,Hay,Green,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, hay, green",Green/Herbal,,
Herbal,Pine,Fresh,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, pine, fresh",Green/Herbal,,
Gourmand,Caramel,Herbal,Gourmand,베이지/크림 (+카라멜브라운),가을/겨울,따뜻한/달달,카페/실내,오후/밤,카페/디저트,편안/달달,"gourmand, caramel, herbal",,,
Floral,Sweet,Honey,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, sweet, honey",,,
Floral,Woody,Violet,Floral,핑크/화이트 (+보라),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, woody, violet",,,
Floral,Anisic,Honey,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, anisic, honey",,,
Food Like,Green,Nutty,Food Like,베이지,사계절,중성,주방/식감,오후,주방/브런치,일상/친근,"food like, green, nutty",,,
Green,Citrus,Cucumber,Green,"leafy green, 그린 (+라이트그린)","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, citrus, cucumber",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Green,Floral,Muguet,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, floral, muguet",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Minty,Floral,Aldehydic,Minty,"허브 초록, 라벤더색, 민트","봄, 여름, 여름",차가운,선선/그늘,"낮, 저녁","herb 정원, 스파, 스포츠/아웃도어","깨끗함, 집중됨, relaxing, 쿨/리프레시","minty, floral, aldehydic",Aromatic/Herbal,,"#4CAF50, #B57EDC"
Aldehydic,Citrus,Muguet,Aldehydic,화이트,사계절/봄,깨끗한/중성,빨래한날/쾌청,종일,세탁한날/오피스,클린/단정,"aldehydic, citrus, muguet",,,
Gourmand,Coffee,Caramel,Gourmand,베이지/크림 (+카라멜브라운),가을/겨울,따뜻한/달달,카페/실내,오후/밤,카페/디저트,편안/달달,"gourmand, coffee, caramel",,,
Floral,Rose,Citrus,Floral,핑크/화이트 (+로즈핑크),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, rose, citrus",,,
Fruity,Balsamic,Myrrh,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, balsamic, myrrh",,,
Food Like,Popcorn,Roasted,Food Like,베이지,사계절,중성,주방/식감,오후,주방/브런치,일상/친근,"food like, popcorn, roasted",,,
Woody,Pine,Apple,Woody,브라운 (+애플그린/레드),가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, pine, apple",,,
Floral,Minty,Fresh,Floral,핑크/화이트 (+민트),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, minty, fresh",,,
Floral,Rose,Fruity,Floral,핑크/화이트 (+로즈핑크),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, rose, fruity",,,
Citrus,Floral,Fruity,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, floral, fruity",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Herbal,Pine,Minty,Herbal,"vivid green, 그린 (+민트)","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, pine, minty",Green/Herbal,,
Gourmand,Toasted,Nutty,Gourmand,베이지/크림,가을/겨울,따뜻한/달달,카페/실내,오후/밤,카페/디저트,편안/달달,"gourmand, toasted, nutty",,,
Gourmand,Sweet,Maple,Gourmand,베이지/크림,가을/겨울,따뜻한/달달,카페/실내,오후/밤,카페/디저트,편안/달달,"gourmand, sweet, maple",,,
